metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
jacksonville,2023,0.08291253447532654,0.38858962059020996,0.6112805604934692,1.0827827453613281,0.06375265,-0.026998026,0.024192013,-0.031580314,-0.21980979,0.00791714,-0.1600462,0.09968831,0.0591921,-0.046623524,0.0743123,0.0010123556,0.05075217,-0.042482562,0.08142997,0.10782145
las_vegas,2013,0.12513849139213562,5.643451690673828,5.205747604370117,10.974337577819824,0.08310678,-0.04482657,-0.008613847,0.08530269,-0.2136676,-0.019322313,-0.2203643,0.13212979,0.094019234,-0.053720277,0.13588303,0.027369266,0.03219638,0.05973111,0.13270032,0.1486355
las_vegas,2014,0.10302186012268066,1.7669053077697754,2.4484195709228516,4.318346977233887,0.06823498,-0.04481501,-0.016792148,0.038338453,-0.20136064,0.004504688,-0.15097651,0.15873107,0.07877459,-0.06715315,0.13240492,0.045014426,0.040011767,-0.0054286793,0.1352427,0.10788286
las_vegas,2015,0.10184034705162048,5.668945789337158,0.9948018789291382,6.765588283538818,0.07762429,-0.019026015,0.0045957565,0.051348533,-0.2073906,0.012595601,-0.17658767,0.10259307,0.096066825,-0.05938165,0.09218838,0.049840376,-0.031633135,-0.016972624,0.15279174,0.1560692
las_vegas,2016,0.08593586087226868,1.715268850326538,0.4611262083053589,2.2623307704925537,0.046677228,-0.0376235,-0.015208095,0.011849299,-0.19427721,0.015947,-0.15098102,0.13414988,0.036799602,-0.06536404,0.10604043,0.033259206,0.025345705,-0.051909514,0.13340046,0.10384154
las_vegas,2017,0.08613285422325134,1.3448315858840942,0.3014720678329468,1.7324365377426147,0.040797267,-0.028495407,0.008980341,-0.0009445846,-0.1917141,0.005530618,-0.14879963,0.1335718,0.029181957,-0.04800551,0.11596161,0.053186245,0.0469392,-0.054298736,0.1280685,0.09390885
las_vegas,2018,0.08374938368797302,1.7988337278366089,0.3993856906890869,2.281968593597412,0.06436895,-0.03079493,-0.009067945,0.009165093,-0.19548962,0.0018063486,-0.1663551,0.12093746,0.019514259,-0.06344207,0.099389866,0.009470803,0.03262385,-0.064860016,0.12282314,0.09269072
las_vegas,2019,0.08254817128181458,2.498717784881592,0.37180590629577637,2.9530718326568604,0.039706357,-0.01156635,0.020915687,-0.026000746,-0.22666734,0.025654994,-0.16920552,0.067566305,0.033950865,-0.04110873,0.06920647,0.048365347,0.0008540377,-0.064463146,0.11804265,0.11576994
las_vegas,2021,0.1739145815372467,1.8386386632919312,11.629077911376953,13.641631126403809,0.2016536,-0.097035795,-0.021215502,0.06333642,-0.23647325,-0.086764626,-0.19421922,0.20782734,0.09418723,-0.092654794,0.16937025,9.860261e-05,0.09016378,0.10268162,0.06171637,0.13217323
las_vegas,2022,0.1030421257019043,1.148820400238037,4.470318794250488,5.72218132019043,0.08111295,-0.04914065,0.029616036,0.0021895543,-0.21652055,-0.031727903,-0.237414,0.122192666,0.028183093,-0.07177036,0.06714864,-0.01670361,0.10584228,-0.0490477,0.06549962,0.09492901
las_vegas,2023,0.08455529808998108,0.5593198537826538,0.36024218797683716,1.0041173696517944,0.05435684,-0.03303226,0.02063755,0.0020954758,-0.19031578,-0.013369434,-0.161845,0.1377783,0.01229266,-0.056641567,0.09750099,0.014309615,0.07397663,-0.0696048,0.11928001,0.065837115
nashville,2013,0.09468558430671692,0.5293101668357849,1.4502346515655518,2.074230432510376,0.061196443,-0.023380661,-0.019104294,0.016196989,-0.1983542,0.016578455,-0.14292169,0.14693625,0.082646236,-0.050287727,0.12722744,0.047352344,0.0571286,0.017642215,0.11305177,0.09257807
nashville,2014,0.08028748631477356,0.468694269657135,0.4861282408237457,1.0351099967956543,0.052233316,-0.026521817,0.01331614,-0.025705934,-0.20752764,0.026447609,-0.13679852,0.1110124,0.07135712,-0.043114692,0.08543057,0.014185093,0.036241483,-0.03354959,0.08722931,0.10969944
nashville,2015,0.08727619051933289,0.49005383253097534,0.6257176995277405,1.203047752380371,0.051641744,-0.032040533,0.036743596,-0.026322693,-0.21563411,-0.011193953,-0.18311635,0.10188374,0.039569903,-0.04694805,0.06734865,-0.0151413325,0.07661437,-0.04483596,0.08112265,0.09757128
nashville,2016,0.08126392960548401,0.34502673149108887,0.6387202739715576,1.065010905265808,0.032811508,-0.04175257,0.043498583,-0.025771499,-0.21978295,0.007388018,-0.14594576,0.07358372,0.05253084,-0.042613424,0.08911636,-0.002813217,0.07010484,-0.06270942,0.08061609,0.08152054
nashville,2017,0.08795544505119324,0.5177415609359741,0.9048003554344177,1.5104973316192627,0.0191841,-0.061693862,0.050288744,-0.038050584,-0.23068257,0.007981662,-0.1509189,0.049353257,0.060096115,-0.03967233,0.07278094,-0.02065613,0.07502383,-0.080302015,0.05841408,0.091129035
nashville,2018,0.0842546820640564,0.3777666687965393,0.8558568954467773,1.317878246307373,0.05021141,-0.040522583,0.034818903,-0.033178292,-0.2233742,0.012559708,-0.1590803,0.08233407,0.06310486,-0.051948447,0.08025846,0.0052160616,0.063573614,-0.062010586,0.07253608,0.09429543
nashville,2019,0.08872362971305847,0.5775380730628967,0.8898025751113892,1.5560643672943115,0.03244119,-0.052083373,0.044394888,-0.04768663,-0.23984483,0.015036274,-0.15541784,0.056645006,0.07210512,-0.044257168,0.07019561,-0.005246571,0.058864288,-0.066532746,0.060509928,0.10918331
nashville,2021,0.14443036913871765,0.3892506957054138,3.2678475379943848,3.8015286922454834,0.13266267,-0.07783982,0.042780794,-0.02049905,-0.23445547,-0.07583647,-0.25034994,0.17450196,0.07630854,-0.07845047,0.06916813,-0.046690904,0.09399294,0.023376353,0.043663584,0.14231311
nashville,2022,0.10057169198989868,0.48159441351890564,1.3389543294906616,1.9211204051971436,0.045154717,-0.060582027,0.07855677,-0.048405685,-0.24301895,-0.02185288,-0.18648401,0.058641825,0.0531534,-0.04498202,0.059340194,-0.03674838,0.09353654,-0.056894787,0.043653116,0.10477249
nashville,2023,0.10939863324165344,0.6130073070526123,1.6320215463638306,2.3544275760650635,0.12798984,-0.060069118,0.040080264,-0.020596229,-0.23485063,-0.053022183,-0.1926964,0.12616672,0.052251007,-0.08464092,0.08028746,-0.025323344,0.10022197,-0.0006986633,0.062356457,0.10040696
orlando,2013,0.10690465569496155,0.6420638561248779,2.2626793384552,3.011647939682007,0.096243545,-0.06636131,-0.028227773,0.04853234,-0.20278329,0.0103177875,-0.14717059,0.15051335,0.09528597,-0.068441235,0.15952848,0.019187285,0.07188602,0.030031152,0.0736025,0.08852999
